SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22021,1610612740,NOP,New Orleans Pelicans,0022100615,2022-01-11,NOP vs. MIN,W,240,42,76,0.553,16,33,0.485,28,37,0.757,9,29,38,33,6,1,21,26,128,3,1
22021,1610612741,CHI,Chicago Bulls,0022100415,2022-01-11,CHI vs. DET,W,240,50,92,0.543,18,34,0.529,15,19,0.789,14,47,61,33,13,4,18,23,133,46,1
22021,1610612743,DEN,Denver Nuggets,0022100616,2022-01-11,DEN @ LAC,L,240,32,80,0.4,4,33,0.121,17,20,0.85,13,43,56,24,4,2,20,19,85,-2,1
22021,1610612744,GSW,Golden State Warriors,0022100614,2022-01-11,GSW @ MEM,L,240,35,82,0.427,13,36,0.361,25,29,0.862,4,41,45,25,8,5,17,19,108,-8,1
22021,1610612746,LAC,LA Clippers,0022100616,2022-01-11,LAC vs. DEN,W,240,34,84,0.405,10,34,0.294,9,12,0.75,3,28,31,23,12,4,9,22,87,2,1
22021,1610612750,MIN,Minnesota Timberwolves,0022100615,2022-01-11,MIN @ NOP,L,240,42,86,0.488,18,39,0.462,23,31,0.742,9,23,32,27,11,4,13,24,125,-3,1
22021,1610612756,PHX,Phoenix Suns,0022100613,2022-01-11,PHX @ TOR,W,240,35,74,0.473,11,32,0.344,18,22,0.818,10,29,39,25,10,2,20,23,99,4,1
22021,1610612760,OKC,Oklahoma City Thunder,0022100612,2022-01-11,OKC @ WAS,L,240,47,98,0.48,11,39,0.282,13,15,0.867,9,32,41,23,5,1,5,20,118,-4,1
22021,1610612761,TOR,Toronto Raptors,0022100613,2022-01-11,TOR vs. PHX,L,240,36,89,0.404,8,37,0.216,15,25,0.6,22,25,47,15,11,3,16,20,95,-4,1
22021,1610612763,MEM,Memphis Grizzlies,0022100614,2022-01-11,MEM vs. GSW,W,240,44,100,0.44,14,34,0.412,14,18,0.778,11,38,49,30,11,8,11,18,116,8,1
22021,1610612764,WAS,Washington Wizards,0022100612,2022-01-11,WAS vs. OKC,W,240,47,87,0.54,11,33,0.333,17,23,0.739,7,35,42,29,3,7,8,15,122,4,1
22021,1610612765,DET,Detroit Pistons,0022100415,2022-01-11,DET @ CHI,L,240,30,89,0.337,6,35,0.171,21,27,0.778,15,26,41,17,9,7,18,20,87,-46,1
22021,1610612737,ATL,Atlanta Hawks,0022100621,2022-01-12,ATL vs. MIA,L,240,31,82,0.378,13,45,0.289,16,23,0.696,6,31,37,20,8,3,14,15,91,-24,1
22021,1610612738,BOS,Boston Celtics,0022100618,2022-01-12,BOS @ IND,W,240,40,78,0.513,18,38,0.474,21,25,0.84,7,30,37,23,6,5,13,22,119,19,1
22021,1610612739,CLE,Cleveland Cavaliers,0022100624,2022-01-12,CLE @ UTA,W,240,43,81,0.531,11,30,0.367,14,17,0.824,7,43,50,28,6,3,15,17,111,20,1
22021,1610612741,CHI,Chicago Bulls,0022100625,2022-01-12,CHI vs. BKN,L,240,38,81,0.469,11,30,0.367,25,31,0.806,10,25,35,22,5,6,17,20,112,-26,1
22021,1610612742,DAL,Dallas Mavericks,0022100622,2022-01-12,DAL @ NYK,L,240,32,78,0.41,8,37,0.216,13,19,0.684,5,34,39,16,6,2,13,18,85,-23,1
22021,1610612745,HOU,Houston Rockets,0022100623,2022-01-12,HOU @ SAS,W,240,45,82,0.549,16,36,0.444,22,32,0.688,4,44,48,23,5,7,14,24,128,4,1
22021,1610612747,LAL,Los Angeles Lakers,0022100626,2022-01-12,LAL @ SAC,L,240,42,98,0.429,16,47,0.34,16,24,0.667,15,30,45,25,6,3,9,19,116,-9,1
22021,1610612748,MIA,Miami Heat,0022100621,2022-01-12,MIA @ ATL,W,240,43,90,0.478,16,45,0.356,13,14,0.929,10,44,54,28,7,4,15,20,115,24,1
22021,1610612751,BKN,Brooklyn Nets,0022100625,2022-01-12,BKN @ CHI,W,240,49,87,0.563,17,32,0.531,23,28,0.821,7,34,41,35,11,4,10,21,138,26,1
22021,1610612752,NYK,New York Knicks,0022100622,2022-01-12,NYK vs. DAL,W,240,42,90,0.467,12,27,0.444,12,15,0.8,11,43,54,24,5,4,9,21,108,23,1
22021,1610612753,ORL,Orlando Magic,0022100620,2022-01-12,ORL @ WAS,L,240,41,99,0.414,11,35,0.314,13,16,0.813,18,31,49,31,6,6,9,16,106,-6,1
22021,1610612754,IND,Indiana Pacers,0022100618,2022-01-12,IND vs. BOS,L,240,40,86,0.465,7,36,0.194,13,20,0.65,11,26,37,27,6,5,12,24,100,-19,1
22021,1610612755,PHI,Philadelphia 76ers,0022100619,2022-01-12,PHI vs. CHA,L,240,34,73,0.466,12,30,0.4,18,28,0.643,3,30,33,18,3,3,17,13,98,-11,1
22021,1610612758,SAC,Sacramento Kings,0022100626,2022-01-12,SAC vs. LAL,W,240,49,89,0.551,11,30,0.367,16,19,0.842,8,37,45,28,8,7,13,20,125,9,1
22021,1610612759,SAS,San Antonio Spurs,0022100623,2022-01-12,SAS vs. HOU,L,240,43,99,0.434,17,46,0.37,21,27,0.778,9,34,43,27,10,5,9,24,124,-4,1
22021,1610612762,UTA,Utah Jazz,0022100624,2022-01-12,UTA vs. CLE,L,240,34,85,0.4,16,47,0.34,7,11,0.636,4,28,32,11,7,2,7,16,91,-20,1
22021,1610612764,WAS,Washington Wizards,0022100620,2022-01-12,WAS vs. ORL,W,240,43,82,0.524,10,31,0.323,16,21,0.762,6,36,42,26,6,4,10,14,112,6,1
22021,1610612766,CHA,Charlotte Hornets,0022100619,2022-01-12,CHA @ PHI,W,240,46,89,0.517,10,34,0.294,7,8,0.875,7,35,42,29,9,3,12,21,109,11,1
22021,1610612740,NOP,New Orleans Pelicans,0022100629,2022-01-13,NOP vs. LAC,W,240,43,97,0.443,14,39,0.359,13,16,0.813,13,44,57,23,8,4,6,18,113,24,1
22021,1610612743,DEN,Denver Nuggets,0022100631,2022-01-13,DEN vs. POR,W,240,52,83,0.627,21,42,0.5,15,20,0.75,6,34,40,35,7,3,16,25,140,32,1
22021,1610612744,GSW,Golden State Warriors,0022100627,2022-01-13,GSW @ MIL,L,240,33,95,0.347,16,48,0.333,17,24,0.708,12,37,49,20,9,2,15,15,99,-19,1
22021,1610612746,LAC,LA Clippers,0022100629,2022-01-13,LAC @ NOP,L,240,31,81,0.383,10,34,0.294,17,20,0.85,5,41,46,19,2,7,15,16,89,-24,1
22021,1610612749,MIL,Milwaukee Bucks,0022100627,2022-01-13,MIL vs. GSW,W,240,44,86,0.512,18,41,0.439,12,18,0.667,5,49,54,29,10,7,17,16,118,19,1
22021,1610612750,MIN,Minnesota Timberwolves,0022100628,2022-01-13,MIN @ MEM,L,240,41,96,0.427,15,48,0.313,11,14,0.786,12,34,46,23,4,8,18,26,108,-8,1
22021,1610612751,BKN,Brooklyn Nets,0022100630,2022-01-13,BKN vs. OKC,L,240,41,98,0.418,7,32,0.219,20,22,0.909,21,29,50,16,7,11,12,19,109,-21,1
22021,1610612757,POR,Portland Trail Blazers,0022100631,2022-01-13,POR @ DEN,L,240,39,86,0.453,13,40,0.325,17,28,0.607,11,23,34,28,11,5,15,18,108,-32,1
22021,1610612760,OKC,Oklahoma City Thunder,0022100630,2022-01-13,OKC @ BKN,W,240,47,91,0.516,20,45,0.444,16,18,0.889,9,29,38,32,8,7,11,19,130,21,1
22021,1610612763,MEM,Memphis Grizzlies,0022100628,2022-01-13,MEM vs. MIN,W,240,42,92,0.457,8,32,0.25,24,35,0.686,16,40,56,22,10,7,14,15,116,8,1
22021,1610612737,ATL,Atlanta Hawks,0022100636,2022-01-14,ATL @ MIA,L,240,38,79,0.481,16,38,0.421,26,30,0.867,9,25,34,26,6,6,16,27,118,-6,1
22021,1610612738,BOS,Boston Celtics,0022100635,2022-01-14,BOS @ PHI,L,240,37,78,0.474,11,31,0.355,14,18,0.778,7,37,44,20,4,4,20,21,99,-12,1
22021,1610612739,CLE,Cleveland Cavaliers,0022100638,2022-01-14,CLE @ SAS,W,240,46,95,0.484,8,20,0.4,14,24,0.583,12,34,46,24,7,3,9,13,114,5,1
22021,1610612741,CHI,Chicago Bulls,0022100637,2022-01-14,CHI vs. GSW,L,240,37,87,0.425,10,38,0.263,12,18,0.667,10,26,36,26,4,5,14,19,96,-42,1
22021,1610612742,DAL,Dallas Mavericks,0022100639,2022-01-14,DAL @ MEM,W,240,47,91,0.516,8,32,0.25,10,16,0.625,8,44,52,30,8,1,15,19,112,27,1
22021,1610612744,GSW,Golden State Warriors,0022100637,2022-01-14,GSW @ CHI,W,240,53,94,0.564,19,42,0.452,13,17,0.765,9,38,47,39,12,5,7,17,138,42,1
22021,1610612745,HOU,Houston Rockets,0022100640,2022-01-14,HOU @ SAC,L,240,44,101,0.436,13,43,0.302,13,16,0.813,13,37,50,25,7,4,17,19,114,-12,1
22021,1610612748,MIA,Miami Heat,0022100636,2022-01-14,MIA vs. ATL,W,240,41,77,0.532,14,30,0.467,28,30,0.933,9,28,37,30,6,5,16,27,124,6,1
