SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1610612738,BOS,Boston Celtics,0022400021,2024-11-19,BOS vs. CLE,W,240,44,86,0.512,22,41,0.537,10,14,0.714,9,33,42,32,4,4,13,19,120,3,1
22024,1610612739,CLE,Cleveland Cavaliers,0022400021,2024-11-19,CLE @ BOS,L,240,46,93,0.495,10,29,0.345,15,17,0.882,12,29,41,30,4,3,7,15,117,-3,1
22024,1610612740,NOP,New Orleans Pelicans,0022400024,2024-11-19,NOP @ DAL,L,240,31,78,0.397,11,32,0.344,18,21,0.857,7,30,37,19,9,4,21,22,91,-41,1
22024,1610612742,DAL,Dallas Mavericks,0022400024,2024-11-19,DAL vs. NOP,W,240,49,94,0.521,14,31,0.452,20,25,0.8,14,34,48,26,12,7,12,15,132,41,1
22024,1610612743,DEN,Denver Nuggets,0022400023,2024-11-19,DEN @ MEM,W,240,48,100,0.48,12,36,0.333,14,22,0.636,13,40,53,29,15,6,19,29,122,12,1
22024,1610612747,LAL,Los Angeles Lakers,0022400026,2024-11-19,LAL vs. UTA,W,240,42,76,0.553,14,31,0.452,26,36,0.722,6,28,34,30,9,5,14,16,124,6,1
22024,1610612751,BKN,Brooklyn Nets,0022400022,2024-11-19,BKN vs. CHA,W,240,42,85,0.494,18,41,0.439,14,19,0.737,10,26,36,31,8,8,15,19,116,1,1
22024,1610612759,SAS,San Antonio Spurs,0022400025,2024-11-19,SAS vs. OKC,W,240,39,83,0.47,19,46,0.413,13,19,0.684,8,38,46,32,5,5,21,13,110,6,1
22024,1610612760,OKC,Oklahoma City Thunder,0022400025,2024-11-19,OKC @ SAS,L,240,41,100,0.41,16,53,0.302,6,7,0.857,13,34,47,24,16,4,14,18,104,-6,1
22024,1610612762,UTA,Utah Jazz,0022400026,2024-11-19,UTA @ LAL,L,240,45,90,0.5,12,36,0.333,16,19,0.842,11,31,42,28,9,0,16,24,118,-6,1
22024,1610612763,MEM,Memphis Grizzlies,0022400023,2024-11-19,MEM vs. DEN,L,240,41,103,0.398,9,38,0.237,19,31,0.613,19,36,55,24,9,10,22,24,110,-12,1
22024,1610612766,CHA,Charlotte Hornets,0022400022,2024-11-19,CHA @ BKN,L,240,38,82,0.463,20,37,0.541,19,22,0.864,13,31,44,25,6,8,23,20,115,-1,1
22024,1610612737,ATL,Atlanta Hawks,0022400258,2024-11-20,ATL @ GSW,L,240,35,105,0.333,12,45,0.267,15,24,0.625,21,44,65,27,9,5,17,17,97,-23,1
22024,1610612739,CLE,Cleveland Cavaliers,0022400252,2024-11-20,CLE vs. NOP,W,240,49,93,0.527,18,42,0.429,12,14,0.857,16,36,52,29,10,9,14,16,128,28,1
22024,1610612740,NOP,New Orleans Pelicans,0022400252,2024-11-20,NOP @ CLE,L,240,39,92,0.424,8,31,0.258,14,22,0.636,16,24,40,23,9,3,11,11,100,-28,1
22024,1610612741,CHI,Chicago Bulls,0022400253,2024-11-20,CHI @ MIL,L,240,41,88,0.466,17,45,0.378,7,7,1.0,5,28,33,25,7,2,14,23,106,-16,1
22024,1610612744,GSW,Golden State Warriors,0022400258,2024-11-20,GSW vs. ATL,W,240,47,101,0.465,14,40,0.35,12,18,0.667,9,45,54,36,10,7,15,17,120,23,1
22024,1610612745,HOU,Houston Rockets,0022400254,2024-11-20,HOU vs. IND,W,240,47,102,0.461,12,36,0.333,24,33,0.727,13,34,47,25,16,2,14,21,130,17,1
22024,1610612746,LAC,LA Clippers,0022400259,2024-11-20,LAC vs. ORL,W,240,38,77,0.494,11,22,0.5,17,21,0.81,15,34,49,22,10,1,25,22,104,11,1
22024,1610612749,MIL,Milwaukee Bucks,0022400253,2024-11-20,MIL vs. CHI,W,240,44,80,0.55,13,36,0.361,21,31,0.677,10,35,45,30,7,2,12,13,122,16,1
22024,1610612752,NYK,New York Knicks,0022400257,2024-11-20,NYK @ PHX,W,240,50,86,0.581,19,39,0.487,19,21,0.905,10,31,41,30,10,0,15,15,138,16,1
22024,1610612753,ORL,Orlando Magic,0022400259,2024-11-20,ORL @ LAC,L,240,33,75,0.44,8,35,0.229,19,24,0.792,2,22,24,21,11,7,14,17,93,-11,1
22024,1610612754,IND,Indiana Pacers,0022400254,2024-11-20,IND @ HOU,L,240,44,83,0.53,5,22,0.227,20,25,0.8,3,33,36,19,7,9,23,24,113,-17,1
22024,1610612755,PHI,Philadelphia 76ers,0022400255,2024-11-20,PHI @ MEM,L,240,39,87,0.448,11,33,0.333,22,24,0.917,14,27,41,21,12,6,14,19,111,-6,1
22024,1610612756,PHX,Phoenix Suns,0022400257,2024-11-20,PHX vs. NYK,L,240,45,92,0.489,19,50,0.38,13,17,0.765,11,23,34,30,9,2,14,16,122,-16,1
22024,1610612757,POR,Portland Trail Blazers,0022400256,2024-11-20,POR @ OKC,L,240,32,79,0.405,15,38,0.395,20,28,0.714,16,33,49,18,6,7,24,20,99,-10,1
22024,1610612760,OKC,Oklahoma City Thunder,0022400256,2024-11-20,OKC vs. POR,W,240,40,91,0.44,9,31,0.29,20,23,0.87,15,31,46,24,14,8,14,20,109,10,1
22024,1610612763,MEM,Memphis Grizzlies,0022400255,2024-11-20,MEM vs. PHI,W,240,41,85,0.482,19,43,0.442,16,16,1.0,9,32,41,29,5,6,20,17,117,6,1
