SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1610612738,BOS,Boston Celtics,0022200001,2022-10-18,BOS vs. PHI,W,240,46,82,0.561,12,35,0.343,22,28,0.786,6,30,36,24,8,3,11,24,126,9,1
22022,1610612744,GSW,Golden State Warriors,0022200002,2022-10-18,GSW vs. LAL,W,240,45,99,0.455,16,45,0.356,17,23,0.739,11,37,48,31,11,4,18,23,123,14,1
22022,1610612747,LAL,Los Angeles Lakers,0022200002,2022-10-18,LAL @ GSW,L,240,40,94,0.426,10,40,0.25,19,25,0.76,9,39,48,23,12,4,22,18,109,-14,1
22022,1610612755,PHI,Philadelphia 76ers,0022200001,2022-10-18,PHI @ BOS,L,240,40,80,0.5,13,34,0.382,24,28,0.857,4,27,31,16,8,3,14,25,117,-9,1
22022,1610612737,ATL,Atlanta Hawks,0022200005,2022-10-19,ATL vs. HOU,W,240,45,90,0.5,7,25,0.28,20,24,0.833,4,34,38,30,12,5,9,18,117,10,1
22022,1610612739,CLE,Cleveland Cavaliers,0022200008,2022-10-19,CLE @ TOR,L,240,38,77,0.494,10,28,0.357,19,23,0.826,6,32,38,25,5,5,17,21,105,-3,1
22022,1610612740,NOP,New Orleans Pelicans,0022200006,2022-10-19,NOP @ BKN,W,240,50,102,0.49,12,26,0.462,18,25,0.72,21,40,61,31,9,4,13,21,130,22,1
22022,1610612741,CHI,Chicago Bulls,0022200007,2022-10-19,CHI @ MIA,W,240,41,93,0.441,13,36,0.361,21,28,0.75,12,34,46,23,12,6,15,26,116,8,1
22022,1610612742,DAL,Dallas Mavericks,0022200013,2022-10-19,DAL @ PHX,L,240,35,75,0.467,14,35,0.4,21,34,0.618,5,35,40,17,6,4,12,22,105,-2,1
22022,1610612743,DEN,Denver Nuggets,0022200012,2022-10-19,DEN @ UTA,L,240,40,83,0.482,5,22,0.227,17,18,0.944,10,25,35,21,10,3,21,23,102,-21,1
22022,1610612745,HOU,Houston Rockets,0022200005,2022-10-19,HOU @ ATL,L,240,42,98,0.429,9,35,0.257,14,15,0.933,15,39,54,25,4,3,16,20,107,-10,1
22022,1610612748,MIA,Miami Heat,0022200007,2022-10-19,MIA vs. CHI,L,240,37,80,0.463,12,28,0.429,22,28,0.786,8,38,46,21,6,2,19,24,108,-8,1
22022,1610612750,MIN,Minnesota Timberwolves,0022200010,2022-10-19,MIN vs. OKC,W,240,39,94,0.415,10,38,0.263,27,33,0.818,14,41,55,25,6,5,14,21,115,7,1
22022,1610612751,BKN,Brooklyn Nets,0022200006,2022-10-19,BKN vs. NOP,L,240,40,89,0.449,10,33,0.303,18,24,0.75,9,30,39,22,10,10,16,25,108,-22,1
22022,1610612752,NYK,New York Knicks,0022200009,2022-10-19,NYK @ MEM,L,265,44,109,0.404,9,37,0.243,15,18,0.833,18,36,54,28,7,5,12,26,112,-3,1
22022,1610612753,ORL,Orlando Magic,0022200003,2022-10-19,ORL @ DET,L,240,42,86,0.488,11,30,0.367,14,19,0.737,10,38,48,21,5,5,18,24,109,-4,1
22022,1610612754,IND,Indiana Pacers,0022200004,2022-10-19,IND vs. WAS,L,240,39,97,0.402,15,42,0.357,14,21,0.667,12,30,42,21,7,5,15,20,107,-7,1
22022,1610612756,PHX,Phoenix Suns,0022200013,2022-10-19,PHX vs. DAL,W,240,40,85,0.471,8,22,0.364,19,22,0.864,8,32,40,25,4,5,12,29,107,2,1
22022,1610612757,POR,Portland Trail Blazers,0022200014,2022-10-19,POR @ SAC,W,240,39,88,0.443,11,28,0.393,26,33,0.788,11,33,44,20,11,2,11,17,115,7,1
22022,1610612758,SAC,Sacramento Kings,0022200014,2022-10-19,SAC vs. POR,L,240,39,85,0.459,17,44,0.386,13,19,0.684,4,37,41,27,8,5,16,25,108,-7,1
22022,1610612759,SAS,San Antonio Spurs,0022200011,2022-10-19,SAS vs. CHA,L,240,40,99,0.404,7,34,0.206,15,21,0.714,14,30,44,22,8,8,15,19,102,-27,1
22022,1610612760,OKC,Oklahoma City Thunder,0022200010,2022-10-19,OKC @ MIN,L,240,38,99,0.384,14,45,0.311,18,22,0.818,16,41,57,22,6,6,14,26,108,-7,1
22022,1610612761,TOR,Toronto Raptors,0022200008,2022-10-19,TOR vs. CLE,W,240,36,86,0.419,13,30,0.433,23,32,0.719,12,29,41,19,15,4,13,23,108,3,1
22022,1610612762,UTA,Utah Jazz,0022200012,2022-10-19,UTA vs. DEN,W,240,42,83,0.506,16,38,0.421,23,31,0.742,11,32,43,27,10,1,20,21,123,21,1
22022,1610612763,MEM,Memphis Grizzlies,0022200009,2022-10-19,MEM vs. NYK,W,265,42,108,0.389,17,50,0.34,14,23,0.609,20,44,64,27,6,7,14,17,115,3,1
22022,1610612764,WAS,Washington Wizards,0022200004,2022-10-19,WAS @ IND,W,240,42,92,0.457,11,31,0.355,19,24,0.792,14,39,53,21,5,10,17,19,114,7,1
22022,1610612765,DET,Detroit Pistons,0022200003,2022-10-19,DET vs. ORL,W,240,40,94,0.426,14,38,0.368,19,24,0.792,12,29,41,31,11,4,13,21,113,4,1
22022,1610612766,CHA,Charlotte Hornets,0022200011,2022-10-19,CHA @ SAS,W,240,48,94,0.511,13,29,0.448,20,23,0.87,14,37,51,26,7,10,15,20,129,27,1
22022,1610612746,LAC,LA Clippers,0022200016,2022-10-20,LAC @ LAL,W,240,37,80,0.463,9,29,0.31,20,31,0.645,10,48,58,18,7,7,23,24,103,6,1
22022,1610612747,LAL,Los Angeles Lakers,0022200016,2022-10-20,LAL vs. LAC,L,240,33,94,0.351,9,45,0.2,22,26,0.846,8,30,38,23,13,5,10,24,97,-6,1
22022,1610612749,MIL,Milwaukee Bucks,0022200015,2022-10-20,MIL @ PHI,W,240,34,84,0.405,13,42,0.31,9,14,0.643,7,41,48,24,4,6,14,16,90,2,1
22022,1610612755,PHI,Philadelphia 76ers,0022200015,2022-10-20,PHI vs. MIL,L,240,36,83,0.434,5,24,0.208,11,13,0.846,6,38,44,17,6,5,10,14,88,-2,1
22022,1610612737,ATL,Atlanta Hawks,0022200020,2022-10-21,ATL vs. ORL,W,240,40,89,0.449,13,31,0.419,15,16,0.938,9,37,46,26,10,2,17,22,108,10,1
22022,1610612738,BOS,Boston Celtics,0022200022,2022-10-21,BOS @ MIA,W,240,41,79,0.519,14,33,0.424,15,15,1.0,12,31,43,17,4,11,20,23,111,7,1
22022,1610612740,NOP,New Orleans Pelicans,0022200017,2022-10-21,NOP @ CHA,W,240,42,89,0.472,8,22,0.364,32,37,0.865,15,38,53,23,9,7,16,14,124,12,1
