SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1610612737,ATL,Atlanta Hawks,0022500939,2026-03-10,ATL vs. DAL,W,240,49,95,0.516,14,36,0.389,12,18,0.667,13,32,45,29,8,8,10,18,124,12,1
22025,1610612738,BOS,Boston Celtics,0022500942,2026-03-10,BOS @ SAS,L,240,42,89,0.472,19,51,0.373,13,17,0.765,5,32,37,27,6,4,8,18,116,-9,1
22025,1610612741,CHI,Chicago Bulls,0022500943,2026-03-10,CHI @ GSW,W,265,50,112,0.446,15,47,0.319,15,18,0.833,20,44,64,34,6,6,14,18,130,6,1
22025,1610612742,DAL,Dallas Mavericks,0022500939,2026-03-10,DAL @ ATL,L,240,41,86,0.477,13,32,0.406,17,22,0.773,12,31,43,28,6,0,14,16,112,-12,1
22025,1610612744,GSW,Golden State Warriors,0022500943,2026-03-10,GSW vs. CHI,L,265,44,105,0.419,20,54,0.37,16,18,0.889,12,37,49,30,9,12,12,18,124,-6,1
22025,1610612745,HOU,Houston Rockets,0022500940,2026-03-10,HOU vs. TOR,W,240,41,82,0.5,10,24,0.417,21,27,0.778,15,37,52,21,8,4,18,19,113,14,1
22025,1610612747,LAL,Los Angeles Lakers,0022500946,2026-03-10,LAL vs. MIN,W,240,45,93,0.484,11,38,0.289,19,26,0.731,14,33,47,31,7,2,7,20,120,14,1
22025,1610612748,MIA,Miami Heat,0022500938,2026-03-10,MIA vs. WAS,W,240,45,90,0.5,13,43,0.302,47,59,0.797,15,33,48,31,16,5,17,22,150,21,1
22025,1610612749,MIL,Milwaukee Bucks,0022500941,2026-03-10,MIL vs. PHX,L,240,42,82,0.512,16,38,0.421,14,20,0.7,8,31,39,26,6,1,17,13,114,-15,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500946,2026-03-10,MIN @ LAL,L,240,37,80,0.463,10,40,0.25,22,28,0.786,8,35,43,22,4,5,11,24,106,-14,1
22025,1610612751,BKN,Brooklyn Nets,0022500937,2026-03-10,BKN vs. DET,L,240,29,69,0.42,13,38,0.342,29,34,0.853,7,24,31,23,3,3,19,29,100,-38,1
22025,1610612754,IND,Indiana Pacers,0022500945,2026-03-10,IND @ SAC,L,240,38,93,0.409,13,43,0.302,20,22,0.909,8,40,48,29,7,2,15,23,109,-5,1
22025,1610612755,PHI,Philadelphia 76ers,0022500936,2026-03-10,PHI vs. MEM,W,240,45,86,0.523,11,31,0.355,38,46,0.826,12,28,40,27,13,5,11,25,139,10,1
22025,1610612756,PHX,Phoenix Suns,0022500941,2026-03-10,PHX @ MIL,W,240,48,89,0.539,24,51,0.471,9,11,0.818,8,31,39,33,9,0,12,19,129,15,1
22025,1610612757,POR,Portland Trail Blazers,0022500944,2026-03-10,POR vs. CHA,L,240,35,83,0.422,16,42,0.381,15,18,0.833,10,32,42,23,6,8,18,24,101,-2,1
22025,1610612758,SAC,Sacramento Kings,0022500945,2026-03-10,SAC vs. IND,W,240,41,90,0.456,7,20,0.35,25,30,0.833,8,44,52,22,10,7,11,18,114,5,1
22025,1610612759,SAS,San Antonio Spurs,0022500942,2026-03-10,SAS vs. BOS,W,240,44,85,0.518,20,47,0.426,17,25,0.68,9,35,44,27,3,2,12,19,125,9,1
22025,1610612761,TOR,Toronto Raptors,0022500940,2026-03-10,TOR @ HOU,L,240,34,78,0.436,9,36,0.25,22,28,0.786,7,23,30,21,10,4,13,23,99,-14,1
22025,1610612763,MEM,Memphis Grizzlies,0022500936,2026-03-10,MEM @ PHI,L,240,48,97,0.495,17,43,0.395,16,21,0.762,19,25,44,26,5,3,20,31,129,-10,1
22025,1610612764,WAS,Washington Wizards,0022500938,2026-03-10,WAS @ MIA,L,240,46,89,0.517,15,36,0.417,22,29,0.759,4,31,35,25,6,3,24,34,129,-21,1
22025,1610612765,DET,Detroit Pistons,0022500937,2026-03-10,DET @ BKN,W,240,48,85,0.565,16,31,0.516,26,34,0.765,10,30,40,36,12,3,9,24,138,38,1
22025,1610612766,CHA,Charlotte Hornets,0022500944,2026-03-10,CHA @ POR,W,240,34,88,0.386,14,38,0.368,21,25,0.84,16,36,52,21,12,4,17,20,103,2,1
22025,1610612739,CLE,Cleveland Cavaliers,0022500947,2026-03-11,CLE @ ORL,L,240,44,89,0.494,17,44,0.386,17,26,0.654,12,30,42,24,3,5,10,22,122,-6,1
22025,1610612740,NOP,New Orleans Pelicans,0022500948,2026-03-11,NOP vs. TOR,W,240,45,88,0.511,14,29,0.483,18,24,0.75,10,39,49,27,10,5,16,16,122,11,1
22025,1610612743,DEN,Denver Nuggets,0022500950,2026-03-11,DEN vs. HOU,W,240,48,87,0.552,17,32,0.531,16,22,0.727,8,34,42,36,12,4,10,15,129,36,1
22025,1610612745,HOU,Houston Rockets,0022500950,2026-03-11,HOU @ DEN,L,240,42,97,0.433,4,33,0.121,5,14,0.357,16,28,44,25,7,6,16,18,93,-36,1
22025,1610612746,LAC,LA Clippers,0022500952,2026-03-11,LAC vs. MIN,W,240,52,82,0.634,19,37,0.514,30,36,0.833,7,22,29,36,16,4,10,24,153,25,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500952,2026-03-11,MIN @ LAC,L,240,46,77,0.597,11,25,0.44,25,29,0.862,7,21,28,32,5,1,21,24,128,-25,1
22025,1610612752,NYK,New York Knicks,0022500949,2026-03-11,NYK @ UTA,W,240,48,92,0.522,17,40,0.425,21,22,0.955,15,30,45,37,10,3,12,16,134,17,1
22025,1610612753,ORL,Orlando Magic,0022500947,2026-03-11,ORL vs. CLE,W,240,44,85,0.518,12,35,0.343,28,37,0.757,8,34,42,29,6,4,6,23,128,6,1
22025,1610612758,SAC,Sacramento Kings,0022500951,2026-03-11,SAC vs. CHA,L,240,45,83,0.542,8,25,0.32,11,14,0.786,8,27,35,24,6,6,14,18,109,-8,1
22025,1610612761,TOR,Toronto Raptors,0022500948,2026-03-11,TOR @ NOP,L,240,39,94,0.415,14,44,0.318,19,25,0.76,14,29,43,20,13,5,11,17,111,-11,1
22025,1610612762,UTA,Utah Jazz,0022500949,2026-03-11,UTA vs. NYK,L,240,42,87,0.483,18,36,0.5,15,19,0.789,14,24,38,30,7,4,15,20,117,-17,1
22025,1610612766,CHA,Charlotte Hornets,0022500951,2026-03-11,CHA @ SAC,W,240,41,90,0.456,19,40,0.475,16,17,0.941,13,28,41,29,8,1,16,12,117,8,1
22025,1610612737,ATL,Atlanta Hawks,0022500956,2026-03-12,ATL vs. BKN,W,240,35,89,0.393,12,40,0.3,26,35,0.743,17,34,51,22,12,6,12,14,108,11,1
22025,1610612738,BOS,Boston Celtics,0022500959,2026-03-12,BOS @ OKC,L,240,35,87,0.402,13,42,0.31,19,20,0.95,12,32,44,20,8,4,13,18,102,-2,1
22025,1610612741,CHI,Chicago Bulls,0022500960,2026-03-12,CHI @ LAL,L,240,51,95,0.537,15,36,0.417,13,16,0.813,12,29,41,34,7,3,16,18,130,-12,1
22025,1610612742,DAL,Dallas Mavericks,0022501111,2026-03-12,DAL @ MEM,W,240,45,93,0.484,11,32,0.344,19,24,0.792,21,39,60,25,8,9,20,17,120,8,1
22025,1610612743,DEN,Denver Nuggets,0022500958,2026-03-12,DEN @ SAS,W,240,44,88,0.5,12,36,0.333,36,38,0.947,7,40,47,27,8,4,10,20,136,5,1
22025,1610612747,LAL,Los Angeles Lakers,0022500960,2026-03-12,LAL vs. CHI,W,240,55,99,0.556,17,36,0.472,15,21,0.714,14,27,41,31,9,4,10,15,142,12,1
22025,1610612748,MIA,Miami Heat,0022500957,2026-03-12,MIA vs. MIL,W,240,38,92,0.413,14,41,0.341,22,27,0.815,15,38,53,26,4,2,12,14,112,7,1
22025,1610612749,MIL,Milwaukee Bucks,0022500957,2026-03-12,MIL @ MIA,L,240,41,83,0.494,9,26,0.346,14,19,0.737,3,33,36,26,10,2,14,30,105,-7,1
22025,1610612751,BKN,Brooklyn Nets,0022500956,2026-03-12,BKN @ ATL,L,240,34,72,0.472,12,35,0.343,17,22,0.773,4,35,39,19,5,6,20,29,97,-11,1
