SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22021,1610612744,GSW,Golden State Warriors,0022100414,2021-12-14,GSW @ NYK,W,240,35,77,0.455,15,40,0.375,20,27,0.741,7,42,49,28,3,6,12,22,105,9,1
22021,1610612751,BKN,Brooklyn Nets,0022100413,2021-12-14,BKN vs. TOR,W,265,50,103,0.485,14,39,0.359,17,23,0.739,19,41,60,28,7,5,18,20,131,2,1
22021,1610612752,NYK,New York Knicks,0022100414,2021-12-14,NYK vs. GSW,L,240,30,83,0.361,16,42,0.381,20,22,0.909,4,31,35,18,6,6,9,21,96,-9,1
22021,1610612756,PHX,Phoenix Suns,0022100416,2021-12-14,PHX @ POR,W,265,44,93,0.473,11,31,0.355,12,15,0.8,8,41,49,30,7,0,14,24,111,4,2
22021,1610612757,POR,Portland Trail Blazers,0022100416,2021-12-14,POR vs. PHX,L,265,40,96,0.417,13,41,0.317,14,22,0.636,12,36,48,23,7,3,14,18,107,-4,2
22021,1610612761,TOR,Toronto Raptors,0022100413,2021-12-14,TOR @ BKN,L,265,48,105,0.457,18,52,0.346,15,19,0.789,13,28,41,26,6,6,12,21,129,-2,1
22021,1610612737,ATL,Atlanta Hawks,0022100418,2021-12-15,ATL @ ORL,W,240,42,85,0.494,11,31,0.355,16,16,1.0,6,34,40,25,11,5,13,16,111,12,1
22021,1610612739,CLE,Cleveland Cavaliers,0022100417,2021-12-15,CLE vs. HOU,W,240,45,80,0.563,18,40,0.45,16,24,0.667,9,35,44,26,6,5,17,25,124,35,1
22021,1610612740,NOP,New Orleans Pelicans,0022100422,2021-12-15,NOP @ OKC,W,240,39,80,0.488,11,28,0.393,24,36,0.667,10,39,49,23,6,3,12,19,113,3,1
22021,1610612742,DAL,Dallas Mavericks,0022100420,2021-12-15,DAL vs. LAL,L,265,39,98,0.398,12,44,0.273,14,17,0.824,8,43,51,22,4,3,11,21,104,-3,1
22021,1610612743,DEN,Denver Nuggets,0022100424,2021-12-15,DEN vs. MIN,L,240,38,84,0.452,14,39,0.359,17,23,0.739,9,33,42,33,5,3,18,15,107,-17,1
22021,1610612745,HOU,Houston Rockets,0022100417,2021-12-15,HOU @ CLE,L,240,30,78,0.385,5,29,0.172,24,35,0.686,10,31,41,20,13,1,17,21,89,-35,1
22021,1610612746,LAC,LA Clippers,0022100425,2021-12-15,LAC @ UTA,L,240,40,85,0.471,10,30,0.333,13,20,0.65,8,34,42,24,6,5,16,22,103,-21,1
22021,1610612747,LAL,Los Angeles Lakers,0022100420,2021-12-15,LAL @ DAL,W,265,39,90,0.433,15,39,0.385,14,18,0.778,4,42,46,24,8,2,14,20,107,3,1
22021,1610612748,MIA,Miami Heat,0022100419,2021-12-15,MIA @ PHI,W,240,35,78,0.449,18,44,0.409,13,17,0.765,9,35,44,25,5,3,18,18,101,5,1
22021,1610612749,MIL,Milwaukee Bucks,0022100421,2021-12-15,MIL vs. IND,W,240,44,90,0.489,14,29,0.483,12,15,0.8,10,28,38,25,10,3,9,11,114,15,1
22021,1610612750,MIN,Minnesota Timberwolves,0022100424,2021-12-15,MIN @ DEN,W,240,45,88,0.511,23,48,0.479,11,16,0.688,6,33,39,24,10,5,12,23,124,17,1
22021,1610612753,ORL,Orlando Magic,0022100418,2021-12-15,ORL vs. ATL,L,240,35,90,0.389,10,35,0.286,19,21,0.905,12,34,46,25,4,2,17,17,99,-12,1
22021,1610612754,IND,Indiana Pacers,0022100421,2021-12-15,IND @ MIL,L,240,39,83,0.47,11,38,0.289,10,11,0.909,11,34,45,24,6,6,19,16,99,-15,1
22021,1610612755,PHI,Philadelphia 76ers,0022100419,2021-12-15,PHI vs. MIA,L,240,35,79,0.443,12,37,0.324,14,17,0.824,4,31,35,26,9,5,11,19,96,-5,1
22021,1610612757,POR,Portland Trail Blazers,0022100426,2021-12-15,POR vs. MEM,L,240,31,82,0.378,15,38,0.395,26,28,0.929,5,33,38,18,9,6,15,21,103,-10,1
22021,1610612758,SAC,Sacramento Kings,0022100427,2021-12-15,SAC vs. WAS,W,240,45,82,0.549,8,26,0.308,21,29,0.724,6,33,39,25,7,6,11,21,119,14,1
22021,1610612759,SAS,San Antonio Spurs,0022100423,2021-12-15,SAS vs. CHA,L,240,39,90,0.433,12,37,0.324,25,25,1.0,11,27,38,27,5,3,8,14,115,-16,1
22021,1610612760,OKC,Oklahoma City Thunder,0022100422,2021-12-15,OKC vs. NOP,L,240,39,93,0.419,13,35,0.371,19,19,1.0,8,34,42,22,8,4,8,25,110,-3,1
22021,1610612762,UTA,Utah Jazz,0022100425,2021-12-15,UTA vs. LAC,W,240,47,89,0.528,15,37,0.405,15,20,0.75,8,36,44,26,11,4,10,18,124,21,1
22021,1610612763,MEM,Memphis Grizzlies,0022100426,2021-12-15,MEM @ POR,W,240,39,82,0.476,11,32,0.344,24,30,0.8,11,42,53,22,10,5,16,21,113,10,1
22021,1610612764,WAS,Washington Wizards,0022100427,2021-12-15,WAS @ SAC,L,240,42,89,0.472,5,24,0.208,16,21,0.762,7,32,39,20,8,3,11,22,105,-14,1
22021,1610612766,CHA,Charlotte Hornets,0022100423,2021-12-15,CHA @ SAS,W,240,51,86,0.593,18,34,0.529,11,16,0.688,9,39,48,34,3,4,13,16,131,16,1
22021,1610612745,HOU,Houston Rockets,0022100431,2021-12-16,HOU vs. NYK,L,240,34,68,0.5,11,32,0.344,24,30,0.8,5,24,29,29,4,4,19,25,103,-13,1
