SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22021,1610612737,ATL,Atlanta Hawks,0022100891,2022-02-24,ATL @ CHI,L,240,41,97,0.423,8,28,0.286,18,27,0.667,13,32,45,20,2,3,10,18,108,-4,1
22021,1610612738,BOS,Boston Celtics,0022100890,2022-02-24,BOS @ BKN,W,240,46,85,0.541,17,42,0.405,20,27,0.741,8,40,48,28,9,3,14,20,129,23,1
22021,1610612739,CLE,Cleveland Cavaliers,0022100889,2022-02-24,CLE @ DET,L,240,34,77,0.442,12,35,0.343,23,34,0.676,8,35,43,20,3,7,12,21,103,-3,1
22021,1610612741,CHI,Chicago Bulls,0022100891,2022-02-24,CHI vs. ATL,W,240,41,84,0.488,8,27,0.296,22,27,0.815,6,37,43,16,5,8,9,20,112,4,1
22021,1610612743,DEN,Denver Nuggets,0022100895,2022-02-24,DEN @ SAC,W,240,48,86,0.558,15,35,0.429,17,20,0.85,3,36,39,30,12,4,17,24,128,18,1
22021,1610612744,GSW,Golden State Warriors,0022100894,2022-02-24,GSW @ POR,W,240,45,88,0.511,15,41,0.366,27,32,0.844,10,36,46,36,10,7,12,23,132,37,1
22021,1610612750,MIN,Minnesota Timberwolves,0022100892,2022-02-24,MIN vs. MEM,W,240,43,93,0.462,16,42,0.381,17,25,0.68,12,30,42,26,6,11,12,27,119,5,1
22021,1610612751,BKN,Brooklyn Nets,0022100890,2022-02-24,BKN vs. BOS,L,240,39,94,0.415,7,29,0.241,21,28,0.75,8,30,38,25,8,4,11,16,106,-23,1
22021,1610612756,PHX,Phoenix Suns,0022100893,2022-02-24,PHX @ OKC,W,240,46,86,0.535,13,34,0.382,19,21,0.905,3,40,43,32,14,6,16,12,124,20,1
22021,1610612757,POR,Portland Trail Blazers,0022100894,2022-02-24,POR vs. GSW,L,240,31,79,0.392,9,35,0.257,24,29,0.828,6,25,31,16,5,4,18,29,95,-37,1
