SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,1610612737,ATL,Atlanta Hawks,0022500251,2025-11-18,ATL vs. DET,L,240,42,87,0.483,15,44,0.341,13,15,0.867,11,24,35,31,9,5,19,24,112,-8,1
22025,1610612738,BOS,Boston Celtics,0022500250,2025-11-18,BOS @ BKN,W,240,37,75,0.493,19,42,0.452,20,26,0.769,10,39,49,25,6,5,20,24,113,14,1
22025,1610612744,GSW,Golden State Warriors,0022500249,2025-11-18,GSW @ ORL,L,240,39,78,0.5,13,36,0.361,22,28,0.786,6,30,36,26,11,3,18,18,113,-8,1
22025,1610612747,LAL,Los Angeles Lakers,0022500253,2025-11-18,LAL vs. UTA,W,240,50,84,0.595,11,32,0.344,29,40,0.725,11,30,41,31,9,1,17,21,140,14,1
22025,1610612751,BKN,Brooklyn Nets,0022500250,2025-11-18,BKN vs. BOS,L,240,33,82,0.402,14,38,0.368,19,27,0.704,12,27,39,25,12,2,14,22,99,-14,1
22025,1610612753,ORL,Orlando Magic,0022500249,2025-11-18,ORL vs. GSW,W,240,43,85,0.506,8,32,0.25,27,29,0.931,10,33,43,28,14,3,14,20,121,8,1
22025,1610612756,PHX,Phoenix Suns,0022500254,2025-11-18,PHX @ POR,W,240,47,98,0.48,14,40,0.35,19,22,0.864,18,28,46,24,19,4,18,27,127,17,1
22025,1610612757,POR,Portland Trail Blazers,0022500254,2025-11-18,POR vs. PHX,L,240,42,97,0.433,10,41,0.244,16,20,0.8,15,28,43,24,7,6,20,12,110,-17,1
22025,1610612759,SAS,San Antonio Spurs,0022500252,2025-11-18,SAS vs. MEM,W,240,42,87,0.483,16,42,0.381,11,13,0.846,4,34,38,23,10,3,9,16,111,10,1
22025,1610612762,UTA,Utah Jazz,0022500253,2025-11-18,UTA @ LAL,L,240,48,92,0.522,13,45,0.289,17,18,0.944,8,25,33,33,13,2,18,30,126,-14,1
22025,1610612763,MEM,Memphis Grizzlies,0022500252,2025-11-18,MEM @ SAS,L,240,42,104,0.404,12,39,0.308,5,9,0.556,21,38,59,30,6,4,14,15,101,-10,1
22025,1610612765,DET,Detroit Pistons,0022500251,2025-11-18,DET @ ATL,W,240,45,83,0.542,10,31,0.323,20,24,0.833,7,32,39,28,12,4,15,16,120,8,1
22025,1610612739,CLE,Cleveland Cavaliers,0022500255,2025-11-19,CLE vs. HOU,L,240,36,81,0.444,12,39,0.308,20,32,0.625,10,29,39,20,4,5,12,18,104,-10,1
22025,1610612740,NOP,New Orleans Pelicans,0022500260,2025-11-19,NOP vs. DEN,L,240,44,98,0.449,7,34,0.206,23,31,0.742,17,27,44,25,12,5,12,24,118,-7,1
22025,1610612741,CHI,Chicago Bulls,0022500263,2025-11-19,CHI @ POR,W,240,46,96,0.479,21,49,0.429,9,14,0.643,7,31,38,36,10,9,16,26,122,1,1
22025,1610612742,DAL,Dallas Mavericks,0022500262,2025-11-19,DAL vs. NYK,L,240,35,85,0.412,16,44,0.364,25,30,0.833,10,40,50,23,6,5,18,26,111,-2,1
22025,1610612743,DEN,Denver Nuggets,0022500260,2025-11-19,DEN @ NOP,W,240,46,83,0.554,11,31,0.355,22,27,0.815,9,32,41,35,8,1,20,26,125,7,1
22025,1610612744,GSW,Golden State Warriors,0022500257,2025-11-19,GSW @ MIA,L,240,34,95,0.358,13,49,0.265,15,20,0.75,20,42,62,24,8,5,23,20,96,-14,1
22025,1610612745,HOU,Houston Rockets,0022500255,2025-11-19,HOU @ CLE,W,240,41,90,0.456,9,24,0.375,23,27,0.852,16,35,51,23,9,4,13,23,114,10,1
22025,1610612748,MIA,Miami Heat,0022500257,2025-11-19,MIA vs. GSW,W,240,39,96,0.406,13,35,0.371,19,26,0.731,14,38,52,30,10,3,14,17,110,14,1
22025,1610612750,MIN,Minnesota Timberwolves,0022500259,2025-11-19,MIN vs. WAS,W,240,42,94,0.447,13,38,0.342,23,32,0.719,19,31,50,28,11,4,10,15,120,11,1
22025,1610612752,NYK,New York Knicks,0022500262,2025-11-19,NYK @ DAL,W,240,41,93,0.441,12,42,0.286,19,35,0.543,16,33,49,27,8,10,9,22,113,2,1
22025,1610612754,IND,Indiana Pacers,0022500256,2025-11-19,IND vs. CHA,W,240,46,85,0.541,16,38,0.421,19,23,0.826,10,33,43,32,5,8,16,22,127,9,1
22025,1610612755,PHI,Philadelphia 76ers,0022500258,2025-11-19,PHI vs. TOR,L,240,41,87,0.471,14,35,0.4,16,18,0.889,16,25,41,24,11,6,21,20,112,-9,1
22025,1610612757,POR,Portland Trail Blazers,0022500263,2025-11-19,POR vs. CHI,L,240,44,107,0.411,12,42,0.286,21,32,0.656,26,38,64,27,10,5,16,16,121,-1,1
22025,1610612758,SAC,Sacramento Kings,0022500261,2025-11-19,SAC @ OKC,L,240,38,86,0.442,8,28,0.286,15,23,0.652,12,33,45,21,12,0,18,22,99,-14,1
22025,1610612760,OKC,Oklahoma City Thunder,0022500261,2025-11-19,OKC vs. SAC,W,240,41,88,0.466,10,38,0.263,21,23,0.913,9,36,45,22,9,10,16,21,113,14,1
22025,1610612761,TOR,Toronto Raptors,0022500258,2025-11-19,TOR @ PHI,W,240,45,84,0.536,11,29,0.379,20,24,0.833,8,23,31,33,12,2,15,19,121,9,1
22025,1610612764,WAS,Washington Wizards,0022500259,2025-11-19,WAS @ MIN,L,240,43,88,0.489,14,32,0.438,9,12,0.75,12,31,43,25,6,6,17,26,109,-11,1
22025,1610612766,CHA,Charlotte Hornets,0022500256,2025-11-19,CHA @ IND,L,240,43,107,0.402,13,45,0.289,19,22,0.864,22,26,48,28,7,2,13,18,118,-9,1
22025,1610612737,ATL,Atlanta Hawks,0022500267,2025-11-20,ATL @ SAS,L,240,49,87,0.563,20,37,0.541,8,13,0.615,6,33,39,30,7,6,16,24,126,-9,1
22025,1610612746,LAC,LA Clippers,0022500264,2025-11-20,LAC @ ORL,L,240,36,89,0.404,14,36,0.389,15,19,0.789,10,33,43,20,7,6,21,20,101,-28,1
22025,1610612749,MIL,Milwaukee Bucks,0022500266,2025-11-20,MIL vs. PHI,L,265,45,92,0.489,14,36,0.389,10,13,0.769,3,39,42,30,7,2,14,19,114,-9,1
22025,1610612753,ORL,Orlando Magic,0022500264,2025-11-20,ORL vs. LAC,W,240,45,94,0.479,18,34,0.529,21,24,0.875,12,39,51,32,12,4,11,17,129,28,1
