SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22024,1610612737,ATL,Atlanta Hawks,0022401149,2025-04-08,ATL @ ORL,L,240,40,88,0.455,14,41,0.341,18,22,0.818,14,27,41,25,7,6,18,26,112,-7,1
22024,1610612738,BOS,Boston Celtics,0022401151,2025-04-08,BOS @ NYK,W,265,40,87,0.46,19,49,0.388,20,25,0.8,9,29,38,26,8,4,15,17,119,2,1
22024,1610612739,CLE,Cleveland Cavaliers,0022401147,2025-04-08,CLE vs. CHI,W,240,51,100,0.51,25,50,0.5,8,13,0.615,16,29,45,35,13,3,13,15,135,22,1
22024,1610612740,NOP,New Orleans Pelicans,0022401150,2025-04-08,NOP @ BKN,L,240,39,82,0.476,12,33,0.364,24,31,0.774,9,33,42,26,10,6,17,18,114,-5,1
22024,1610612741,CHI,Chicago Bulls,0022401147,2025-04-08,CHI @ CLE,L,240,41,86,0.477,15,43,0.349,16,19,0.842,12,33,45,26,9,3,20,15,113,-22,1
22024,1610612744,GSW,Golden State Warriors,0022401154,2025-04-08,GSW @ PHX,W,240,45,93,0.484,15,40,0.375,28,34,0.824,19,38,57,31,14,3,15,10,133,38,1
22024,1610612746,LAC,LA Clippers,0022401155,2025-04-08,LAC vs. SAS,W,240,48,93,0.516,14,30,0.467,12,16,0.75,14,36,50,30,6,0,17,14,122,5,1
22024,1610612747,LAL,Los Angeles Lakers,0022401153,2025-04-08,LAL @ OKC,L,240,37,80,0.463,18,40,0.45,28,37,0.757,12,33,45,21,2,6,19,15,120,-16,1
22024,1610612749,MIL,Milwaukee Bucks,0022401152,2025-04-08,MIL vs. MIN,W,240,40,84,0.476,12,36,0.333,18,25,0.72,11,32,43,27,8,2,12,15,110,7,1
22024,1610612750,MIN,Minnesota Timberwolves,0022401152,2025-04-08,MIN @ MIL,L,240,41,89,0.461,13,40,0.325,8,9,0.889,10,32,42,25,4,3,14,20,103,-7,1
22024,1610612751,BKN,Brooklyn Nets,0022401150,2025-04-08,BKN vs. NOP,W,240,41,83,0.494,17,40,0.425,20,24,0.833,7,33,40,30,11,4,16,22,119,5,1
22024,1610612752,NYK,New York Knicks,0022401151,2025-04-08,NYK vs. BOS,L,265,48,101,0.475,11,38,0.289,10,16,0.625,17,35,52,28,8,6,11,21,117,-2,1
22024,1610612753,ORL,Orlando Magic,0022401149,2025-04-08,ORL vs. ATL,W,240,42,84,0.5,14,34,0.412,21,31,0.677,13,30,43,23,13,6,14,20,119,7,1
22024,1610612754,IND,Indiana Pacers,0022401148,2025-04-08,IND vs. WAS,W,240,33,87,0.379,9,35,0.257,29,37,0.784,13,36,49,21,7,5,9,16,104,6,1
22024,1610612756,PHX,Phoenix Suns,0022401154,2025-04-08,PHX vs. GSW,L,240,35,88,0.398,12,43,0.279,13,15,0.867,13,28,41,22,12,4,19,19,95,-38,1
22024,1610612759,SAS,San Antonio Spurs,0022401155,2025-04-08,SAS @ LAC,L,240,45,85,0.529,17,42,0.405,10,16,0.625,8,26,34,29,8,4,17,16,117,-5,1
