SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1610612738,BOS,Boston Celtics,0022200887,2023-02-23,BOS @ IND,W,265,51,99,0.515,18,39,0.462,22,26,0.846,20,31,51,31,7,6,15,18,142,4,1
22022,1610612739,CLE,Cleveland Cavaliers,0022200886,2023-02-23,CLE vs. DEN,L,240,43,90,0.478,6,26,0.231,17,20,0.85,13,28,41,24,10,2,11,21,109,-6,1
22022,1610612740,NOP,New Orleans Pelicans,0022200890,2023-02-23,NOP @ TOR,L,240,39,84,0.464,13,30,0.433,19,25,0.76,6,37,43,23,6,2,13,19,110,-5,1
22022,1610612742,DAL,Dallas Mavericks,0022200891,2023-02-23,DAL vs. SAS,W,240,46,82,0.561,22,42,0.524,28,36,0.778,3,33,36,27,10,5,7,18,142,26,1
22022,1610612743,DEN,Denver Nuggets,0022200886,2023-02-23,DEN @ CLE,W,240,39,84,0.464,17,36,0.472,20,23,0.87,18,29,47,30,7,4,16,20,115,6,1
22022,1610612744,GSW,Golden State Warriors,0022200893,2023-02-23,GSW @ LAL,L,240,40,105,0.381,14,49,0.286,17,21,0.81,17,31,48,24,10,3,10,23,111,-13,1
22022,1610612747,LAL,Los Angeles Lakers,0022200893,2023-02-23,LAL vs. GSW,W,240,42,86,0.488,16,30,0.533,24,34,0.706,10,48,58,30,8,3,16,20,124,13,1
22022,1610612753,ORL,Orlando Magic,0022200888,2023-02-23,ORL vs. DET,W,240,39,95,0.411,12,31,0.387,18,23,0.783,12,34,46,27,7,6,14,19,108,2,1
22022,1610612754,IND,Indiana Pacers,0022200887,2023-02-23,IND vs. BOS,L,265,49,94,0.521,22,49,0.449,18,22,0.818,10,27,37,33,10,5,15,23,138,-4,1
22022,1610612755,PHI,Philadelphia 76ers,0022200889,2023-02-23,PHI vs. MEM,W,240,34,84,0.405,13,36,0.361,29,36,0.806,7,36,43,25,3,10,12,26,110,5,1
22022,1610612757,POR,Portland Trail Blazers,0022200894,2023-02-23,POR @ SAC,L,240,43,93,0.462,16,38,0.421,14,17,0.824,9,24,33,26,12,3,13,23,116,-17,1
22022,1610612758,SAC,Sacramento Kings,0022200894,2023-02-23,SAC vs. POR,W,240,47,85,0.553,14,34,0.412,25,31,0.806,12,37,49,27,9,4,18,16,133,17,1
22022,1610612759,SAS,San Antonio Spurs,0022200891,2023-02-23,SAS @ DAL,L,240,45,86,0.523,10,25,0.4,16,23,0.696,10,35,45,30,4,1,17,25,116,-26,1
22022,1610612760,OKC,Oklahoma City Thunder,0022200892,2023-02-23,OKC @ UTA,L,265,45,112,0.402,8,37,0.216,21,27,0.778,20,34,54,23,8,3,11,23,119,-1,1
22022,1610612761,TOR,Toronto Raptors,0022200890,2023-02-23,TOR vs. NOP,W,240,43,92,0.467,9,31,0.29,20,25,0.8,11,37,48,17,10,5,12,20,115,5,1
22022,1610612762,UTA,Utah Jazz,0022200892,2023-02-23,UTA vs. OKC,W,265,42,100,0.42,13,48,0.271,23,27,0.852,17,41,58,26,8,10,22,29,120,1,1
22022,1610612763,MEM,Memphis Grizzlies,0022200889,2023-02-23,MEM @ PHI,L,240,34,87,0.391,7,32,0.219,30,36,0.833,13,36,49,22,5,7,11,27,105,-5,1
22022,1610612765,DET,Detroit Pistons,0022200888,2023-02-23,DET @ ORL,L,240,37,81,0.457,17,34,0.5,15,19,0.789,6,39,45,22,5,7,21,25,106,-2,1
