SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22021,1610612744,GSW,Golden State Warriors,0022100316,2021-11-30,GSW @ PHX,L,240,36,86,0.419,14,40,0.35,10,14,0.714,15,36,51,25,7,5,23,13,96,-8,1
22021,1610612747,LAL,Los Angeles Lakers,0022100318,2021-11-30,LAL @ SAC,W,240,46,92,0.5,11,28,0.393,14,20,0.7,10,37,47,21,10,6,15,20,117,25,1
22021,1610612751,BKN,Brooklyn Nets,0022100314,2021-11-30,BKN vs. NYK,W,240,41,85,0.482,8,28,0.286,22,25,0.88,9,29,38,27,7,7,9,14,112,2,1
22021,1610612752,NYK,New York Knicks,0022100314,2021-11-30,NYK @ BKN,L,240,44,91,0.484,11,32,0.344,11,12,0.917,10,32,42,27,5,2,11,21,110,-2,1
22021,1610612756,PHX,Phoenix Suns,0022100316,2021-11-30,PHX vs. GSW,W,240,43,87,0.494,12,30,0.4,6,11,0.545,8,27,35,28,12,4,13,12,104,8,1
22021,1610612757,POR,Portland Trail Blazers,0022100317,2021-11-30,POR vs. DET,W,240,41,96,0.427,14,42,0.333,14,18,0.778,10,33,43,24,8,5,11,22,110,18,1
22021,1610612758,SAC,Sacramento Kings,0022100318,2021-11-30,SAC vs. LAL,L,240,35,79,0.443,6,29,0.207,16,22,0.727,9,31,40,22,11,4,20,21,92,-25,1
22021,1610612761,TOR,Toronto Raptors,0022100315,2021-11-30,TOR vs. MEM,L,240,36,91,0.396,10,39,0.256,9,12,0.75,11,33,44,14,7,9,18,21,91,-7,1
22021,1610612763,MEM,Memphis Grizzlies,0022100315,2021-11-30,MEM @ TOR,W,240,36,93,0.387,10,34,0.294,16,19,0.842,18,36,54,18,13,10,17,15,98,7,1
22021,1610612765,DET,Detroit Pistons,0022100317,2021-11-30,DET @ POR,L,240,29,76,0.382,9,35,0.257,25,30,0.833,7,38,45,17,4,7,19,20,92,-18,1
22021,1610612737,ATL,Atlanta Hawks,0022100319,2021-12-01,ATL @ IND,W,240,44,86,0.512,16,33,0.485,10,12,0.833,7,34,41,24,4,8,13,15,114,3,1
22021,1610612738,BOS,Boston Celtics,0022100322,2021-12-01,BOS vs. PHI,W,240,33,79,0.418,11,28,0.393,11,15,0.733,4,42,46,18,5,8,13,15,88,1,1
22021,1610612739,CLE,Cleveland Cavaliers,0022100323,2021-12-01,CLE @ MIA,W,240,37,68,0.544,16,31,0.516,21,23,0.913,6,40,46,27,8,14,21,15,111,26,1
22021,1610612740,NOP,New Orleans Pelicans,0022100325,2021-12-01,NOP vs. DAL,L,240,40,89,0.449,13,37,0.351,14,16,0.875,16,16,32,22,10,1,16,12,107,-32,1
22021,1610612742,DAL,Dallas Mavericks,0022100325,2021-12-01,DAL @ NOP,W,240,57,83,0.687,18,34,0.529,7,9,0.778,9,25,34,32,7,2,18,19,139,32,1
22021,1610612743,DEN,Denver Nuggets,0022100320,2021-12-01,DEN @ ORL,L,240,39,80,0.488,10,34,0.294,15,21,0.714,1,34,35,22,5,4,15,19,103,-5,1
